,country,year,swiid_market,swiid_mrkt_bott50,swiid_mrkt_top10,swiid_dsp,swiid_dsp_bott50,swiid_dsp_top10,gini_coeff,s80s20,palma,fin_lib,gfc,fin_dev_prcrdt,fin_dev_dep,gdp_per,trade,pop,infl,gdp_grth,agri,ind,nat_res,edu_exp,edu_prime,edu_sec,edu_ter,life_exp,net_barter,fdi,cap_for,gvt_cs,unemp,curcri,kaopen,civ_lib,exprty,trade_glob,legor_so,legor_ge,bank_prcrdt,all_prcrdt,bank_share_prcrdt,bank_asgdp,fin_dep,bank_share_dep,net_int,bank_roa,bank_roe,bank_con,ins_asset,life_ins,nonlife_ins,stock_mrkt,stock_trade,private_penfunds,mutual_funds,fdi_dollar,equity_dollar
0,Albania,2000,47.601,47.749,49.846,36.983,37.467,34.637,35.207,5.764,1.44,6.208,0,4.742,42.636,1960.882,63.454,3089027,0.05,6.946,24.515,19.396,1.206,2.888,109.125,69.752,15.232,75404.0,108.143,4.109,31.907,9.692,19.028,0,-0.16,5,1,33.253,1,0,4.118,4.118,100,33.811,42.636,100,5.289,2.1,22.51,100.0,,0.002,0.362,,,,,143000000.0,0.0
1,Albania,2001,47.771,47.894,50.216,37.14,37.743,34.889,35.777,5.902,1.488,6.458,0,5.989,42.982,2143.527,66.491,3060173,3.108,8.293,22.716,21.736,0.774,2.91,108.755,72.417,15.492,75639.0,106.965,5.285,36.729,10.626,18.575,0,-0.16,5,1,39.471,1,0,5.063,5.063,100,33.239,42.982,100,3.744,0.716,7.59,100.0,,0.03,0.466,,,,,207300000.0,0.0
2,Albania,2002,47.897,48.064,50.576,37.319,38.054,34.955,36.348,6.044,1.536,6.59,0,6.419,44.694,2247.498,68.525,3051010,7.771,4.537,22.025,23.106,0.766,2.933,107.709,73.946,15.931,75.89,106.837,3.105,36.056,11.335,17.895,0,-0.16,4,1,57.599,1,0,6.031,6.031,100,34.3,44.694,100,3.283,0.679,7.318,94.633,,0.046,0.548,,,,,135000000.0,0.0
3,Albania,2003,48.112,48.589,50.704,37.481,38.173,35.417,36.068,6.002,1.514,7.958,0,7.547,43.495,2380.645,67.021,3039616,0.484,5.529,21.978,24.056,0.766,2.955,107.269,77.61,16.382,76142.0,102.016,3.173,35.894,11.098,16.989,0,-0.16,3,1,58.958,1,0,6.67,6.67,100,34.068,43.495,100,3.675,1.157,13.63,95.53,,0.012,0.51,,,,,178036400.667,0.0
4,Albania,2004,48.324,48.582,50.853,37.543,38.329,35.495,35.788,5.959,1.491,7.948,0,9.549,45.761,2522.449,67.047,3026939,2.28,5.515,20.537,24.666,0.869,2.978,106.635,78.326,19.822,76376.0,100.029,4.75,37.796,11.206,16.31,0,-0.16,3,1,57.292,1,0,8.224,8.224,100,35.908,45.761,100,3.936,0.798,11.059,95.609,1.139,0.015,0.514,,,,,341285112.538,
5,Albania,2005,48.622,49.004,50.683,37.505,38.345,35.532,35.508,5.917,1.469,7.565,0,15.264,48.627,2675.509,70.872,3011487,2.367,5.526,18.845,25.082,1.101,3.0,111.322,82.558,23.539,76621.0,98.961,3.26,37.92,11.031,15.97,0,-0.16,3,1,60.579,1,0,11.964,11.964,100,38.772,48.627,100,4.369,1.615,22.691,94.101,,0.029,0.445,,,,,262479012.637,
6,Albania,2006,48.709,49.189,50.741,37.642,38.638,35.503,35.333,5.796,1.457,7.572,0,22.173,52.663,2851.368,74.267,2992547,2.371,5.903,17.708,25.308,1.379,3.023,109.895,84.665,27.705,76816.0,98.93,3.655,38.07,10.527,15.63,0,-1.234,3,0,70.748,1,0,18.04,18.04,100,44.265,52.663,100,4.683,1.287,18.574,91.03,1.312,0.034,0.456,,,,,325138316.804,
7,Albania,2007,48.893,49.516,50.765,37.662,38.693,35.451,35.158,5.68,1.446,7.462,1,29.964,56.793,3044.897,83.202,2970017,2.933,5.983,17.154,25.34,2.174,3.045,109.893,87.147,32.119,77549.0,98.499,6.109,36.385,10.477,15.97,0,-1.234,3,0,73.539,1,0,24.801,24.801,100,50.53,56.793,100,5.646,1.538,21.635,70.689,1.384,0.04,0.549,,,0.544,,652275603.723,
8,Albania,2008,49.098,49.642,51.272,37.619,38.693,35.669,34.983,5.567,1.435,7.55,1,35.44,56.569,3298.479,77.452,2947314,3.321,7.5,16.837,25.161,1.775,3.068,110.684,89.081,33.415,77653.0,98.179,9.682,33.949,10.379,13.06,0,-1.234,3,0,75.266,1,0,30.997,30.997,100,55.635,56.569,100,4.739,1.472,17.521,73.077,1.437,0.045,0.576,,,1.159,,1247181714.306,23311017.188
9,Albania,2009,49.429,50.034,51.569,37.729,38.762,35.859,34.813,5.556,1.418,7.542,0,38.214,55.681,3432.171,75.095,2927519,2.267,3.354,16.794,24.414,1.048,3.09,108.076,90.313,34.216,77781.0,97.753,11.171,32.709,11.109,13.67,0,-1.234,3,0,73.047,1,0,34.848,35.481,98,59.126,55.681,100,4.33,1.056,10.577,60.862,1.419,0.061,0.587,,,2.183,0.006,1345415233.656,-4130654.013
10,Albania,2010,49.351,49.944,51.861,37.725,38.775,35.981,34.644,5.544,1.402,7.772,0,39.084,58.021,3577.114,76.543,2913021,3.626,3.707,17.956,24.937,1.528,3.113,108.494,93.953,45.003,77936.0,102.269,9.138,28.428,11.157,14.09,0,-0.16,3,0,75.3,1,0,35.459,36.835,96,58.973,58.021,100,4.543,1.052,9.849,54.756,1.455,0.066,0.552,,,2.988,0.009,1089898207.574,6866702.983
11,Albania,2011,49.653,50.23,52.039,37.749,38.776,35.542,34.475,5.533,1.386,8.355,0,41.154,63.995,3678.048,81.219,2905195,3.429,2.545,18.227,24.484,2.898,3.136,109.736,97.444,49.666,78092.0,101.883,8.135,29.366,10.974,13.48,0,-0.16,3,0,75.623,1,0,37.569,39.17,96,61.844,63.995,100,4.448,0.95,8.424,55.264,1.489,0.079,0.49,,,1.441,,1048706682.055,23346397.497
12,Albania,2012,49.778,50.173,51.956,37.667,38.617,35.745,34.305,5.521,1.37,8.298,0,40.804,67.89,3736.34,76.51,2900401,2.032,1.417,18.767,22.919,3.231,3.158,110.606,99.7,59.576,78064.0,103.332,7.451,26.489,10.845,13.38,0,-0.16,3,0,75.622,1,0,38.739,40.44,96,63.511,67.89,100,4.238,0.565,4.754,56.346,1.526,0.065,0.557,,,2.679,1.205,917994575.802,17988019.951
13,Albania,2013,49.908,50.396,51.839,37.852,38.753,35.669,36.386,6.359,1.523,8.17,0,39.787,69.681,3780.699,75.874,2895092,1.938,1.002,19.565,23.061,3.328,3.181,110.929,103.765,65.315,78123.0,102.855,9.816,26.08,11.025,15.87,0,-0.16,3,0,74.85,1,0,38.175,39.925,96,63.402,69.681,100,3.744,0.474,3.919,56.577,1.618,0.07,0.508,,,4.281,3.741,1254150555.513,1699846.161
14,Albania,2014,50.071,50.63,51.89,38.02,38.772,36.028,38.468,7.425,1.7,8.755,0,39.261,69.348,3855.761,75.408,2889104,1.626,1.774,19.99,21.509,3.417,3.152,114.043,104.288,66.826,78407.0,101.142,8.693,24.159,11.452,18.05,0,-0.16,3,1,82.176,1,0,37.18,38.914,96,62.993,69.348,100,3.707,0.694,5.819,59.732,1.752,0.072,0.7,,,5.484,4.568,1149927985.777,33948375.373
15,Albania,2015,50.198,50.705,51.953,37.956,38.589,35.937,37.095,6.638,1.574,8.775,0,37.151,69.051,3952.804,71.801,2880703,1.896,2.219,19.78,21.764,1.735,3.124,113.303,103.085,62.987,78644.0,100.0,8.691,24.413,11.111,17.19,0,-0.16,3,1,80.045,1,0,36.241,37.937,96,61.223,69.051,100,3.389,0.038,0.31,69.445,1.925,0.069,0.832,,,7.396,4.67,989578334.829,8986823.856
16,Albania,2016,50.499,50.999,51.876,37.88,38.546,36.085,37.817,7.061,1.632,8.718,0,36.558,67.888,4090.373,74.81,2876101,1.275,3.315,19.85,21.142,1.058,3.573,110.958,100.22,59.274,78.86,101.077,8.805,24.368,11.269,15.42,0,-0.16,3,1,82.051,1,0,34.609,36.377,95,58.623,67.888,100,3.525,1.01,7.761,71.097,1.998,0.064,0.892,,,10.341,4.456,1044389554.858,-14741264.843
17,North Macedonia,2000,53.076,51.532,56.914,32.267,32.02,31.27,36.007,6.521,1.496,3.57,0,16.955,12.769,3283.379,80.16,2026350,6.607,4.549,10.096,21.406,0.416,4.086,100.818,79.856,23.307,72.946,102.629,5.765,20.428,16.931,32.2,0,-1.234,3,0,54.248,1,0,17.312,17.312,100,19.178,12.769,100,5.601,0.596,3.184,79.648,,0.036,2.312,0.182,1.86,,,217507099.158,
18,North Macedonia,2001,53.604,52.221,56.878,32.697,32.514,31.404,28.076,3.615,1.03,3.57,0,16.304,18.965,3169.325,71.478,2034882,5.199,-3.067,9.745,20.587,0.24,3.677,99.157,81.199,24.589,73.437,101.678,12.658,22.129,23.832,30.52,0,-1.234,3,0,58.771,1,0,16.615,16.615,100,19.883,18.965,100,4.7,-1.021,-5.758,80.858,,0.036,2.047,0.708,2.22,,,469570706.398,
19,North Macedonia,2002,54.025,52.97,56.625,33.19,32.995,31.969,39.021,7.305,1.76,5.07,0,16.669,22.333,3240.111,71.533,2020157,2.315,1.494,10.17,19.378,0.249,3.269,95.977,81.405,26.691,73.039,100.736,2.842,21.422,20.752,31.94,0,-0.033,4,0,58.881,1,0,16.396,16.396,100,19.818,22.333,100,4.94,0.323,1.843,79.231,,0.042,1.79,2.882,0.982,,,114193471.419,44255.0
20,North Macedonia,2003,54.581,53.539,57.083,33.805,33.509,32.526,39.164,7.31,1.775,7.06,0,17.556,22.284,3301.314,71.069,2026773,0.856,2.223,11.539,22.488,0.284,3.269,93.637,82.107,26.967,73.241,99.102,2.407,20.193,18.079,36.69,0,-0.033,3,1,58.789,1,0,16.771,16.771,100,19.823,22.284,100,5.668,1.494,8.058,79.927,,0.039,1.611,5.821,0.456,,,119041753.232,2740980.1
21,North Macedonia,2004,55.02,54.004,57.683,34.304,34.022,32.809,38.937,7.268,1.758,6.9,0,20.884,25.596,3445.808,80.87,2032544,-0.449,4.674,11.554,21.038,0.53,3.269,91.927,82.122,27.425,73.598,98.547,5.44,21.327,17.405,37.16,0,-0.033,3,1,56.004,1,0,18.738,18.738,100,21.457,25.596,100,5.461,1.699,9.5,79.822,,0.038,1.567,7.14,0.398,,,309137638.54,13021819.69
22,North Macedonia,2005,55.191,54.275,57.918,35.016,34.726,33.501,39.656,7.788,1.803,7.37,0,23.332,27.839,3600.954,85.841,2036855,0.526,4.724,9.736,20.362,0.472,3.269,91.206,82.334,29.053,73.698,97.812,2.322,19.171,16.185,37.32,0,-0.033,3,1,67.645,1,0,21.012,21.012,100,23.627,27.839,100,5.07,1.409,8.684,77.074,,0.036,1.443,8.458,1.037,,,145329601.532,53820725.4
23,North Macedonia,2006,55.507,54.643,57.989,35.353,35.003,34.009,42.058,8.77,2.065,7.425,0,28.014,31.721,3779.677,92.552,2040228,3.214,5.137,8.989,21.663,2.226,3.269,89.546,,28.593,73.895,97.008,6.23,20.183,16.511,36.03,0,-0.033,3,1,61.625,1,0,24.643,24.643,100,27.962,31.721,100,4.733,1.968,13.222,75.249,,0.035,1.419,12.846,2.15,,,427444589.269,86323072.293
24,North Macedonia,2007,55.695,54.874,57.777,35.382,34.924,34.551,43.328,9.06,2.215,7.442,1,34.961,36.224,4017.794,106.093,2043559,2.252,6.473,8.932,20.581,5.565,3.269,88.89,81.953,34.561,73.8,97.201,8.798,22.754,16.803,35.23,0,-0.033,3,1,68.179,1,0,29.317,29.317,100,32.949,36.224,100,5.896,2.261,16.527,73.672,,0.046,1.407,23.009,4.216,75.025,,733466879.0,169834037.764
25,North Macedonia,2008,55.73,54.984,57.482,35.551,35.143,34.869,44.598,9.36,2.375,7.413,1,42.127,40.596,4230.735,111.57,2046898,8.332,5.472,11.444,19.533,0.95,3.269,83.642,81.336,39.139,74.4,94.837,6.173,25.839,18.583,33.93,0,-0.033,3,1,65.086,1,0,36.932,36.932,100,39.795,40.596,100,5.305,1.521,11.577,72.759,3.091,0.064,1.307,19.403,3.62,115.631,,611688378.606,-49354975.81
26,North Macedonia,2009,55.922,55.28,57.527,35.609,35.167,35.378,42.894,9.237,2.177,7.425,0,43.46,42.539,4207.807,87.177,2050671,-0.74,-0.359,10.37,18.973,0.786,3.269,82.766,80.61,39.421,74.446,98.507,2.76,24.636,19.076,32.35,0,-0.033,3,1,65.59,1,0,42.539,42.539,100,45.353,42.539,100,5.192,0.814,6.365,74.936,2.943,0.073,1.239,9.008,1.103,205.119,,259530321.486,-14024882.134
27,North Macedonia,2010,55.936,55.174,57.593,35.459,34.968,35.656,41.189,9.112,1.992,7.402,0,44.225,43.819,4339.966,97.881,2055004,1.51,3.359,10.121,21.042,1.481,3.269,82.344,81.19,37.721,74.998,95.387,3.204,23.142,18.291,33.13,0,-0.033,3,0,65.854,1,0,43.138,43.138,100,46.8,43.819,100,4.462,0.982,8.246,73.184,2.739,0.081,1.235,8.139,0.502,269.758,,301441681.708,-4035418.283
28,North Macedonia,2011,55.952,55.148,57.796,35.009,34.6,35.404,39.435,9.573,1.786,7.39,0,44.852,46.176,4433.889,113.192,2058539,3.905,2.34,9.351,21.592,1.319,3.269,,,,75.1,88.793,4.84,23.622,18.12,31.5,0,-0.033,3,0,69.078,1,0,44.201,44.201,100,48.107,46.176,100,4.309,0.386,3.31,70.986,2.786,0.107,1.211,6.1,0.428,339.566,,507920732.789,-8118861.738
29,North Macedonia,2012,55.773,54.933,57.444,34.49,34.113,34.845,38.837,8.572,1.718,7.453,0,47.174,48.456,4408.298,112.215,2061044,3.316,-0.456,9.105,21.081,1.174,3.269,84.892,79.886,39.675,74.902,89.493,3.467,23.446,18.648,31.2,0,-0.033,3,0,68.765,1,0,46.738,46.861,100,52.074,48.456,100,4.772,0.554,4.592,68.244,2.8,0.128,1.232,5.66,0.407,457.349,,337911248.193,-6447658.914
30,North Macedonia,2013,55.721,54.9,57.135,34.007,33.612,34.383,37.613,7.472,1.604,7.472,0,46.663,46.466,4530.684,104.857,2064032,2.785,2.925,10.027,22.14,1.129,3.269,90.288,77.373,38.575,75.4,91.501,3.72,23.784,17.505,29.14,0,-0.033,3,0,69.006,1,0,45.931,46.194,99,53.171,46.466,100,4.744,0.821,6.645,67.803,2.766,0.145,1.15,,,608.074,,402458309.806,-687297.19
31,North Macedonia,2014,55.544,54.721,57.07,33.501,33.1,34.24,36.158,6.692,1.479,7.565,0,49.448,46.527,4687.298,112.538,2067471,-0.282,3.629,10.178,22.823,1.186,3.269,92.243,76.078,38.781,75.451,93.868,0.536,23.491,17.112,28.38,0,-0.033,3,0,71.645,1,0,46.971,47.622,99,54.037,46.527,100,4.265,0.858,6.946,66.7,3.101,0.168,1.135,,,664.201,,60879915.451,-4025006.51
32,North Macedonia,2015,55.529,54.434,57.063,33.044,32.591,33.34,35.246,6.347,1.405,7.592,0,51.053,47.445,4861.556,113.698,2070226,-0.3,3.856,9.727,23.922,0.935,3.269,95.641,76.698,41.061,75.402,100.0,2.947,23.907,16.976,26.43,0,-0.033,3,0,71.353,1,0,48.71,49.657,98,55.371,47.445,100,4.166,1.144,9.251,65.821,3.142,0.197,1.144,,,723.775,0.516,296604200.381,-9373843.702
33,North Macedonia,2016,55.256,54.267,56.79,32.541,32.123,32.681,35.119,6.326,1.396,7.592,0,48.12,47.426,4994.561,116.185,2072490,-0.239,2.848,9.173,23.963,0.866,3.269,,,,75.4,99.412,5.148,24.444,15.43,24.3,0,-0.033,3,0,71.602,1,0,47.901,48.802,98,54.263,47.426,100,4.155,1.542,12.29,64.775,3.107,0.216,1.091,,,841.459,0.609,549371101.551,-7621115.072
34,Serbia,2000,48.786,48.676,49.794,32.089,32.285,32.168,32.086,4.259,1.255,5.72,0,45.701,7.338,3193.259,22.492,7516346,71.121,6.132,17.07,35.293,2.333,4.39,98.148,86.901,,71.583,,0.412,12.202,19.342,12.6,1,,0,1,44.03,0,1,24.843,24.843,100,31.175,7.338,100,0.578,0.616,4.898,88.48,,0.011,1.919,,0.162,,,,
35,Serbia,2001,49.437,49.37,50.354,32.815,33.052,32.556,28.076,3.615,1.03,5.72,0,31.388,9.562,3418.79,56.548,7503433,95.005,6.879,14.653,32.884,1.502,4.39,102.13,89.08,37.664,72.234,,1.066,12.203,21.506,12.8,0,,0,1,44.18,0,1,28.434,28.434,100,32.585,9.562,100,2.34,-0.158,-1.647,64.694,,0.019,2.115,,0.432,,,,
36,Serbia,2002,50.11,50.139,50.981,33.441,33.659,33.424,29.89,4.049,1.113,5.72,0,16.179,11.812,3640.275,56.866,7496522,19.491,6.38,9.767,31.726,0.629,4.39,101.537,88.0,35.624,72.285,,2.648,15.118,24.047,13.8,0,,0,0,44.416,0,1,20.758,20.758,100,21.371,11.812,100,6.324,-4.79,-25.671,55.358,3.011,0.025,2.015,,0.653,,,,
37,Serbia,2003,50.432,50.38,51.395,34.141,34.475,33.559,31.704,4.574,1.206,5.72,0,17.78,14.136,3808.094,61.17,7480591,9.876,4.388,8.085,30.002,0.536,4.39,100.548,87.444,39.54,72.437,,5.517,17.147,24.187,15.2,0,,0,0,44.596,0,1,15.664,15.664,100,16.982,14.136,100,8.147,1.493,6.381,52.896,2.835,0.073,1.82,6.461,1.595,,,,
38,Serbia,2004,50.716,50.526,51.661,34.624,34.854,34.129,33.518,5.225,1.31,5.72,0,21.841,16.149,4161.595,74.23,7463157,11.026,9.028,8.53,30.282,1.754,4.39,100.697,87.024,40.923,72.683,,3.387,19.541,22.634,18.5,0,,0,0,58.749,0,1,18.236,18.236,100,20.369,16.149,100,7.088,-1.946,-9.058,42.374,2.018,0.105,1.312,9.193,2.017,,,,
39,Serbia,2005,50.668,50.502,51.728,34.874,35.078,34.336,35.332,6.052,1.429,7.148,0,27.856,19.108,4404.96,73.017,7440769,16.12,5.53,6.739,29.141,1.243,4.39,101.391,87.723,44.03,72.834,,6.59,19.437,19.512,20.85,0,,0,0,61.741,0,1,22.9,22.9,100,25.313,19.108,100,7.534,0.591,3.112,44.979,2.512,0.165,1.618,18.4,2.006,,,,
40,Serbia,2006,49.989,49.814,50.802,34.545,34.689,34.311,37.146,7.137,1.564,7.098,0,27.863,23.431,4648.197,76.908,7411569,11.724,5.108,6.818,28.737,1.501,4.39,100.228,88.038,46.549,73.385,,13.495,21.201,20.389,20.85,0,,0,0,61.933,0,1,26.082,26.082,100,28.191,23.431,100,8.385,1.832,9.595,41.745,2.572,0.177,1.499,37.391,3.778,,,,
41,Serbia,2007,50.197,50.127,50.594,33.981,34.088,34.021,36.489,6.856,1.508,7.498,1,34.077,28.696,4967.62,75.605,7381579,6.392,6.44,6.119,28.201,1.554,4.39,98.93,88.611,47.68,73.632,,10.246,23.77,20.736,18.06,0,,2,0,63.323,0,1,28.747,28.747,100,30.31,28.696,100,7.834,1.859,8.899,40.106,2.798,0.21,1.498,58.327,6.057,56.895,,4423192680.119,764179165.456
42,Serbia,2008,50.338,50.267,50.699,33.421,33.471,33.697,35.831,6.592,1.454,7.358,1,39.01,31.524,5270.958,78.679,7350222,12.411,5.656,7.445,27.608,2.851,4.65,99.425,89.454,48.199,73.885,95.304,7.771,23.707,20.125,13.7,0,,2,0,64.021,0,1,34.468,34.468,100,35.896,31.524,100,7.84,1.614,7.108,39.929,2.916,0.231,1.48,48.577,4.664,74.113,,4055798181.801,-54673162.36
43,Serbia,2009,50.568,50.454,50.688,33.367,33.364,33.812,35.173,6.345,1.402,7.188,0,42.55,35.098,5147.569,66.022,7320807,8.117,-2.732,7.201,24.902,1.294,4.7,97.878,90.622,49.076,73.985,98.148,6.486,18.694,19.514,16.14,0,,2,0,66.221,0,1,40.597,40.597,100,44.322,35.098,100,6.964,0.744,3.357,38.358,3.25,0.274,1.404,32.241,2.002,108.235,,2929226709.603,23051033.696
44,Serbia,2010,50.908,50.786,50.631,33.407,33.347,33.834,34.515,6.112,1.352,6.882,0,50.008,38.273,5206.087,76.731,7291436,6.143,0.731,6.602,25.287,2.511,4.58,96.909,90.462,48.491,74.337,97.879,4.049,17.676,19.139,19.22,0,,2,0,71.361,0,1,44.706,44.706,100,51.964,38.273,100,5.667,0.795,4.009,35.527,3.602,0.305,1.36,3.686,0.553,125.027,,1693250318.851,84429250.248
45,Serbia,2011,51.05,50.9,50.872,33.651,33.61,33.859,35.253,6.271,1.412,6.805,0,47.563,39.401,5354.2,78.809,7234099,11.137,2.036,7.445,26.661,3.35,4.48,96.304,90.275,49.912,74.537,97.067,10.01,17.507,18.942,22.97,0,,2,0,70.848,0,1,47.271,47.271,100,56.299,39.401,100,5.401,0.858,4.355,37.94,3.48,0.293,1.213,9.34,0.787,154.493,,4930532020.146,69354681.723
46,Serbia,2012,51.339,51.17,51.647,34.079,34.131,34.224,35.99,6.436,1.474,6.6,0,49.509,40.295,5343.579,85.471,7199077,7.33,-0.682,6.435,27.006,2.775,4.196,101.055,93.033,52.851,74.837,96.638,2.945,20.206,18.974,24.0,0,,2,0,71.866,0,1,47.374,47.374,100,57.799,40.295,100,4.974,0.593,2.91,39.798,3.688,0.331,1.209,17.734,0.695,189.913,,1275339755.628,-23873824.102
47,Serbia,2013,51.635,51.534,51.818,34.224,34.239,34.504,36.728,6.608,1.539,6.652,0,43.566,40.017,5524.968,87.92,7164132,7.694,2.893,7.414,26.84,2.06,4.1,100.484,93.556,55.713,75.185,95.951,4.255,16.474,17.898,22.15,0,,2,0,70.905,0,1,45.004,45.004,100,56.662,40.017,100,5.376,-0.422,-2.047,42.732,3.586,0.363,1.118,,,237.544,0.131,2059297316.504,-40785007.822
48,Serbia,2014,51.556,51.611,51.548,34.25,34.434,34.124,35.952,6.315,1.475,6.583,0,43.426,41.994,5462.735,92.231,7130576,2.082,-1.59,7.066,25.237,1.894,4.005,100.391,93.54,57.623,75.337,95.924,4.249,15.95,18.053,19.22,0,,2,0,73.554,0,1,43.69,43.69,100,58.248,41.994,100,4.746,-0.203,-0.978,45.212,4.036,0.409,1.188,,,237.818,0.228,1999539187.457,-21637100.389
